Year,Month,Carbondioxide
1987,Jan,315.42
1987,Feb,316.32
1987,Mar,316.49
1987,Apr,317.56
1987,May,318.13
1987,Jun,318
1987,Jul,316.39
1987,Aug,314.66
1987,Sep,313.68
1987,Oct,313.18
1987,Nov,314.66
1987,Dec,315.43
1988,Jan,316.27
1988,Feb,316.81
1988,Mar,317.42
1988,Apr,318.87
1988,May,319.87
1988,Jun,319.43
1988,Jul,318.01
1988,Aug,315.75
1988,Sep,314
1988,Oct,313.68
1988,Nov,314.84
1988,Dec,316.03
1989,Jan,316.73
1989,Feb,317.54
1989,Mar,318.38
1989,Apr,319.31
1989,May,320.42
1989,Jun,319.61
1989,Jul,318.42
1989,Aug,316.64
1989,Sep,314.83
1989,Oct,315.15
1989,Nov,315.95
1989,Dec,316.85
1990,Jan,317.78
1990,Feb,318.4
1990,Mar,319.53
1990,Apr,320.41
1990,May,320.85
1990,Jun,320.45
1990,Jul,319.44
1990,Aug,317.25
1990,Sep,316.12
1990,Oct,315.27
1990,Nov,316.53
1990,Dec,317.53
1991,Jan,318.58
1991,Feb,318.92
1991,Mar,319.7
1991,Apr,321.22
1991,May,322.08
1991,Jun,321.31
1991,Jul,319.58
1991,Aug,317.61
1991,Sep,316.05
1991,Oct,315.83
1991,Nov,316.91
1991,Dec,318.2
1992,Jan,319.41
1992,Feb,320.07
1992,Mar,320.74
1992,Apr,321.4
1992,May,322.06
1992,Jun,321.73
1992,Jul,320.27
1992,Aug,318.54
1992,Sep,316.54
1992,Oct,316.71
1992,Nov,317.53
1992,Dec,318.55
1993,Jan,319.27
1993,Feb,320.28
1993,Mar,320.73
1993,Apr,321.97
1993,May,322
1993,Jun,321.71
1993,Jul,321.05
1993,Aug,318.71
1993,Sep,317.65
1993,Oct,317.14
1993,Nov,318.71
1993,Dec,319.25
1994,Jan,320.46
1994,Feb,321.43
1994,Mar,322.22
1994,Apr,323.54
1994,May,323.91
1994,Jun,323.59
1994,Jul,322.26
1994,Aug,320.21
1994,Sep,318.48
1994,Oct,317.94
1994,Nov,319.63
1994,Dec,320.87
1995,Jan,322.17
1995,Feb,322.34
1995,Mar,322.88
1995,Apr,324.25
1995,May,324.83
1995,Jun,323.93
1995,Jul,322.39
1995,Aug,320.76
1995,Sep,319.1
1995,Oct,319.23
1995,Nov,320.56
1995,Dec,321.8
1996,Jan,322.4
1996,Feb,322.99
1996,Mar,323.73
1996,Apr,324.86
1996,May,325.41
1996,Jun,325.19
1996,Jul,323.97
1996,Aug,321.92
1996,Sep,320.1
1996,Oct,319.96
1996,Nov,320.97
1996,Dec,322.48
1997,Jan,323.52
1997,Feb,323.89
1997,Mar,325.04
1997,Apr,326.01
1997,May,326.67
1997,Jun,325.96
1997,Jul,325.13
1997,Aug,322.9
1997,Sep,321.61
1997,Oct,321.01
1997,Nov,322.08
1997,Dec,323.37
1998,Jan,324.34
1998,Feb,325.3
1998,Mar,326.29
1998,Apr,327.54
1998,May,327.54
1998,Jun,327.21
1998,Jul,325.98
1998,Aug,324.42
1998,Sep,322.91
1998,Oct,322.9
1998,Nov,323.85
1998,Dec,324.96
1999,Jan,326.01
1999,Feb,326.51
1999,Mar,327.01
1999,Apr,327.62
1999,May,328.76
1999,Jun,328.4
1999,Jul,327.2
1999,Aug,325.28
1999,Sep,323.2
1999,Oct,323.4
1999,Nov,324.64
1999,Dec,325.85
2000,Jan,326.6
2000,Feb,327.47
2000,Mar,327.58
2000,Apr,329.56
2000,May,329.9
2000,Jun,328.92
2000,Jul,327.89
2000,Aug,326.17
2000,Sep,324.68
2000,Oct,325.04
2000,Nov,326.34
2000,Dec,327.39
2001,Jan,328.37
2001,Feb,329.4
2001,Mar,330.14
2001,Apr,331.33
2001,May,332.31
2001,Jun,331.9
2001,Jul,330.7
2001,Aug,329.15
2001,Sep,327.34
2001,Oct,327.02
2001,Nov,327.99
2001,Dec,328.48
2002,Jan,329.18
2002,Feb,330.55
2002,Mar,331.32
2002,Apr,332.48
2002,May,332.92
2002,Jun,332.08
2002,Jul,331.02
2002,Aug,329.24
2002,Sep,327.28
2002,Oct,327.21
2002,Nov,328.29
2002,Dec,329.41
2003,Jan,330.23
2003,Feb,331.24
2003,Mar,331.87
2003,Apr,333.14
2003,May,333.8
2003,Jun,333.42
2003,Jul,331.73
2003,Aug,329.9
2003,Sep,328.4
2003,Oct,328.17
2003,Nov,329.32
2003,Dec,330.59
2004,Jan,331.58
2004,Feb,332.39
2004,Mar,333.33
2004,Apr,334.41
2004,May,334.71
2004,Jun,334.17
2004,Jul,332.88
2004,Aug,330.77
2004,Sep,329.14
2004,Oct,328.77
2004,Nov,330.14
2004,Dec,331.52
2005,Jan,332.75
2005,Feb,333.25
2005,Mar,334.53
2005,Apr,335.9
2005,May,336.57
2005,Jun,336.1
2005,Jul,334.76
2005,Aug,332.59
2005,Sep,331.41
2005,Oct,330.98
2005,Nov,332.24
2005,Dec,333.68
2006,Jan,334.8
2006,Feb,335.22
2006,Mar,336.47
2006,Apr,337.59
2006,May,337.84
2006,Jun,337.72
2006,Jul,336.37
2006,Aug,334.51
2006,Sep,332.6
2006,Oct,332.37
2006,Nov,333.75
2006,Dec,334.79
2007,Jan,336.05
2007,Feb,336.59
2007,Mar,337.79
2007,Apr,338.71
2007,May,339.3
2007,Jun,339.12
2007,Jul,337.56
2007,Aug,335.92
2007,Sep,333.74
2007,Oct,333.7
2007,Nov,335.13
2007,Dec,336.56
2008,Jan,337.84
2008,Feb,338.19
2008,Mar,339.9
2008,Apr,340.6
2008,May,341.29
2008,Jun,341
2008,Jul,339.39
2008,Aug,337.43
2008,Sep,335.72
2008,Oct,335.84
2008,Nov,336.93
2008,Dec,338.04
2009,Jan,339.06
2009,Feb,340.3
2009,Mar,341.21
2009,Apr,342.33
2009,May,342.74
2009,Jun,342.07
2009,Jul,340.32
2009,Aug,338.27
2009,Sep,336.52
2009,Oct,336.68
2009,Nov,338.19
2009,Dec,339.44
2010,Jan,340.57
2010,Feb,341.44
2010,Mar,342.53
2010,Apr,343.39
2010,May,343.96
2010,Jun,343.18
2010,Jul,341.88
2010,Aug,339.65
2010,Sep,337.8
2010,Oct,337.69
2010,Nov,339.09
2010,Dec,340.32
2011,Jan,341.2
2011,Feb,342.35
2011,Mar,342.93
2011,Apr,344.77
2011,May,345.58
2011,Jun,345.14
2011,Jul,343.81
2011,Aug,342.22
2011,Sep,339.69
2011,Oct,339.82
2011,Nov,340.98
2011,Dec,342.82
2012,Jan,343.52
2012,Feb,344.33
2012,Mar,345.11
2012,Apr,346.88
2012,May,347.25
2012,Jun,346.61
2012,Jul,345.22
2012,Aug,343.11
2012,Sep,340.9
2012,Oct,341.17
2012,Nov,342.8
2012,Dec,344.04
2013,Jan,344.79
2013,Feb,345.82
2013,Mar,347.25
2013,Apr,348.17
2013,May,348.75
2013,Jun,348.07
2013,Jul,346.38
2013,Aug,344.52
2013,Sep,342.92
2013,Oct,342.63
2013,Nov,344.06
2013,Dec,345.38
2014,Jan,346.12
2014,Feb,346.79
2014,Mar,347.69
2014,Apr,349.38
2014,May,350.04
2014,Jun,349.38
2014,Jul,347.78
2014,Aug,345.75
2014,Sep,344.7
2014,Oct,344.01
2014,Nov,345.5
2014,Dec,346.75
2015,Jan,347.86
2015,Feb,348.32
2015,Mar,349.26
2015,Apr,350.84
2015,May,351.7
2015,Jun,351.11
2015,Jul,349.37
2015,Aug,347.97
2015,Sep,346.31
2015,Oct,346.22
2015,Nov,347.68
2015,Dec,348.82
2016,Jan,350.29
2016,Feb,351.58
2016,Mar,352.08
2016,Apr,353.45
2016,May,354.08
2016,Jun,353.66
2016,Jul,352.25
2016,Aug,350.3
2016,Sep,348.58
2016,Oct,348.74
2016,Nov,349.93
2016,Dec,351.21
2017,Jan,352.62
2017,Feb,352.93
2017,Mar,353.54
2017,Apr,355.27
2017,May,355.52
2017,Jun,354.97
2017,Jul,353.74
2017,Aug,351.51
2017,Sep,349.63
2017,Oct,349.82
2017,Nov,351.12
2017,Dec,352.35
2018,Jan,353.47
2018,Feb,354.51
2018,Mar,355.18
2018,Apr,355.98
2018,May,356.94
2018,Jun,355.99
2018,Jul,354.58
2018,Aug,352.68
2018,Sep,350.72
2018,Oct,350.92
2018,Nov,352.55
2018,Dec,353.91
